标题,描述,BV号,播放量,弹幕,评论,时长,上传时间
《崩坏：星穹铁道》美梦预告PV：「了不起的塔塔洛夫」,"「幸会，异乡的来访者。我名为莎塔娜，想和您谈一个条件……」
「您问为什么能听懂我说的话？呃，您不是有那什么『联觉信标』吗？」

*视频中莎塔娜的声音由特殊联觉信标翻译而成。
*更多剧情敬请期待1月26号的2.0版本前瞻特别节目。

中文CV：
莎塔娜：秦紫翼
姬子：林簌
流萤：宋媛媛
桑博：刘圣博

日文CV：
莎塔娜：内山夕实
姬子：田中理惠
流萤：楠木灯
桑博：平川大辅

英文CV：
莎塔娜：Elizabeth Maxwell
姬子：Cia Court
流萤：Analesa Fisher
桑博：Rog",BV1VC4y1k7dy,4454328,11751,10304,06:15,2024-01-24
《崩坏：星穹铁道》匹诺康尼旅游宣传动画：「滴答！一起来梦游吧！」,"谁能想到呢？在广袤的星空中，还有这样一个奇妙的地方：
这里的人们闭上了眼睛，夜半却无一人入眠；
这里的城市金迷纸醉，钱物却被视作秽土。

各位尊贵的来宾，欢迎来到「匹诺康尼」——跟上你们有趣的向导「钟表小子」，和我们一同踏入这颗无与伦比的美梦之星！

中文CV：
钟表小子——秦且歌
仓鼠球骑士——Kinsen

日文CV：
钟表小子——柳晃平
仓鼠球骑士——风间万裕子

英文CV：
钟表小子——Niko Gerentes
仓鼠球骑士——Jacob Craner

韩文CV：
钟表小子——이주승
仓鼠球骑士",BV1iC4y1C7KV,4087785,19475,13972,13:54,2024-01-21
《崩坏：星穹铁道》千星纪游PV：「永火一夜：第33场」,"第33场。
内景。永火官邸——夜。毁灭。
炽热的火焰说道：「美梦燃烧了我的花朵，我的死亡。」

中文CV：
冥火大公——孟祥龙
「调音师」阿卡什——赵梓涵
「书吏」杜布拉——苏子芜
「枷锁」卡翠娜——李蝉妃
「大丽花」康士坦丝——阮从青

日文CV：
冥火大公——丹泽晃之
「调音师」阿卡什——新垣樽助
「书吏」杜布拉——野口瑠璃子
「枷锁」卡翠娜——三瓶由布子
「大丽花」康士坦丝——佐佐木未来

英文CV：
冥火大公——Bob Johnson
「调音师」阿卡什——Talon Warburton
「书吏」杜",BV1UK411e7tY,5315755,19311,32121,12:31,2024-01-19
《崩坏：星穹铁道》走近星穹——「真理医生：我有知识我自豪」,"你还在为闲暇时间无聊，只能刷手机解闷而苦恼吗？你还在担心自己的知识面太窄，难以适应世异时移的变化吗？你是否发现自己在课本之外，对现实的了解太少，不能应对复杂多样的社会？别担心！真理医生为你带来知识，突破迷障！学真理，用真理，我有知识我自豪！

敬请收看星际和平娱乐特别节目《走近星穹》——「真理医生：我有知识我自豪」。

中文CV：
叽米——刘北辰
螺丝咕姆——赵洋",BV1q5411e7wm,1699576,5483,3441,06:00,2024-01-17
《崩坏：星穹铁道》真理医生角色PV——「愚不可及」,"提问前不如先想一想，你的答案是不是已经先于问题确定？
这种问题不问出口，对大家都好。

中文CV：
真理医生——桑毓泽
旁白——李程远

日文CV：
真理医生——武内骏辅
旁白——浜田治贵

英文CV：
真理医生——Jordan Paul Haro
旁白——Bob Johnson

韩文CV：
真理医生——이동훈
旁白——오해성",BV1ok4y1Q7Am,4528028,16189,9642,07:23,2024-01-12
《崩坏：星穹铁道》走近星穹——「雪衣：偃偶少女会不会受伤」,"封藏着神降时代秘药丹方的玉兆落入谁手？这背后又隐藏着怎样的惊天阴谋？能揭开重重迷雾的，只有那位神秘的偃偶判官！一切尽在《不适合人偶的职业》！
（本期节目由仙舟文学网独家赞助播出）
敬请收看星际和平娱乐特别节目《走近星穹》——「雪衣：偃偶少女会不会受伤」。

中文CV：
叽米——刘北辰
雪衣——溯浔",BV1Ea4y1z7pE,1267181,2016,3469,03:58,2023-12-29
《崩坏：星穹铁道》走近星穹——「模拟宇宙：黄金与机械」特别节目,"号外！号外！模拟宇宙全新资料片《黄金与机械》更新在即！今天，本节目有幸再次邀请到天才俱乐部成员——#81阮•梅女士，为我们带来全新DLC一手情报以及超前试玩体验。

中文CV：
叽米——刘北辰
阮•梅——张文钰",BV1de411i7ed,1344029,3774,4125,08:07,2023-12-28
《崩坏：星穹铁道》走近星穹——「阮•梅：玩模拟宇宙就是要吃阮饭」,"在刷出阮•梅事件的刹那，你的心脏中瞬间充盈了无尽的幸福。你仿佛再也不会忧愁，余生都将陷在永恒的狂喜之中。你忍不住高喊着、跳跃着、欢笑着，仿若孩童。当你终于沉静下来时，你低声说道「谢谢阮•梅」。你知道她会听到。
敬请收看星际和平娱乐特别节目《走近星穹》——「阮•梅：玩模拟宇宙就是要吃阮饭」。

中文CV：
叽米——刘北辰
黑塔——侯小菲
阮•梅——张文钰",BV15i4y1h79i,1597925,5269,6694,06:14,2023-12-27
《崩坏：星穹铁道》阮•梅角色PV——「万物生」,"「唇齿最为敏感，糕点要评得上筹，只要一小口的机会。」
「我偏爱鲜果花木等时令原材，定格在片刻的生命仪态，更易引起多巴胺反应。」

中文CV：
阮•梅——张文钰

日文CV：
阮•梅——大西沙织

英文CV：
阮•梅——Emi Lo

韩文CV：
阮•梅——윤여진",BV1rj411J7sN,3628141,10087,9178,07:26,2023-12-26
《崩坏：星穹铁道》千星纪游PV：「阮声落华裳，梅出似点妆」,"煮水沁眉，绣枕华发，轻拢微火烤，
烤那信中淡意多多，浓情少少。
落笔点枝，湖水蘸绿，
她抹去一指琼绸碎玉，冰雪玎玲，
旧章皆烬。

中文CV：
阮•梅——张文钰

日文CV：
阮•梅——大西沙织

英文CV：
阮•梅——Emi Lo

韩文CV：
阮•梅——윤여진",BV1pb4y1V7Qw,4458526,18959,17880,12:34,2023-12-22
《崩坏：星穹铁道》1.6版本「庸与神的冠冕」前瞻特别节目,"《崩坏：星穹铁道》1.6版本「庸与神的冠冕」将于2023年12月27日上线，感谢各位开拓者的支持与陪伴~

本次特别节目中的一切人物、故事、设定仅为节目包装，均与《崩坏：星穹铁道》原作无关，展示画面与奖励等均为研发中内容，非最终上线版本，请以上线版本为准。
兑换码将于12月16日23:59:59失效，记得尽快兑换哦~",BV1si4y1e7GL,4060269,80285,15810,37:14,2023-12-15
《崩坏：星穹铁道》1.6版本PV：「庸与神的冠冕」,"庸与天才，人性与神。于黄金年代察觉，一生斗争皆为荒谬的瞬间。

中文CV：
阮•梅：张文钰
真理医生：桑毓泽
黑塔：侯小菲
冥火大公：孟祥龙

日文CV：
阮•梅：大西沙织
真理医生：武内骏辅
黑塔：山崎遥
冥火大公：丹泽晃之

英文CV：
阮•梅：Emi Lo
真理医生：Jordan Paul Haro
黑塔：PJ Mattson
冥火大公：Bob Johnson

韩文CV：
阮•梅：윤여진
真理医生：이동훈
黑塔：김서영
冥火大公：이주승",BV1zj411p7KH,3678298,13088,11298,11:18,2023-12-15
《崩坏：星穹铁道》TGA参选视频：「常看常新的故事」,"那些人，那些事，初见如故，常看常新。
在各位开拓者的支持下，《崩坏：星穹铁道》荣获“TGA 2023 最佳移动游戏”。你的陪伴就是这个故事继续下去的意义。

中文CV：
黑天鹅——杨梦露
黄泉——菊花花

日文CV：
黑天鹅——生天目仁美
黄泉——泽城美雪

英文CV：
黑天鹅——Arryn Zech
黄泉——Allegra Clark

韩文CV：
黑天鹅——김하영
黄泉——박지윤",BV1qb4y1L7mD,2947918,7337,10851,06:38,2023-12-08
《崩坏：星穹铁道》走近星穹——「寒鸦：杜绝加班，远离魔阴」,"大多数人能行走在光明之中，是因为有人在黑暗中为他们保驾护航。今天的主角就是这样一位黑暗中的守护者。为了仙舟的黎民苍生，她不得不加班、加班、加班、再加班。
敬请收看星际和平娱乐特别节目《走近星穹》——「寒鸦：杜绝加班，远离魔阴」。

中文CV：
叽米——刘北辰",BV1DN411L7bm,1259962,2021,2170,05:03,2023-12-07
《崩坏：星穹铁道》走近星穹——「银枝：花瓣去哪儿了？」,"寻人启事：寻找一位高贵、美丽的红发骑士。其人谈吐风雅，身手不凡，曾在星穹列车内洒下大量难以清扫的玫瑰花瓣，致使列车长不得不加班大扫除。若能提供此人线索，星穹列车必有重赏。
敬请收看星际和平娱乐特别节目《走近星穹》——「银枝：花瓣去哪儿了？」。

中文CV：
叽米——刘北辰
帕姆——蒋丽
银枝——梁达伟",BV1zu4y1g7x8,1310305,3656,4431,05:02,2023-12-06
《崩坏：星穹铁道》银枝角色PV——「骑士文学」,"不打算守约的人，订约的时候也不会计较困难。
而没有真正信仰的愚者认为，一切都是命中注定。

中文CV：
银枝——梁达伟        
三月七——诺亚                
帕姆——蒋丽                                        

日文CV：
银枝——立花慎之介
三月七——小仓唯
帕姆——长泽美树
瓦尔特——细谷佳正

英文CV:
银枝——Adam Michael Gold
三月七——Skyler Davenport
帕姆——Christine Sposat",BV1JH4y117k5,4537880,10273,12013,08:10,2023-12-01
《崩坏：星穹铁道》走近星穹——「藿藿：战胜恐惧的唯一办法…逃跑！」,"寒风瑟瑟、鬼影森森；五浊恶世、魔阴横行。直面各种邪恶与恐惧，并勇敢与之对抗的，竟然是一个…看恐怖片都会吓破胆的女孩？这究竟是人性的闪光，还是道德的崇高？
敬请收看星际和平娱乐特别节目《走近星穹》——「藿藿：战胜恐惧的唯一办法…逃跑！」。

中文CV：
叽米——刘北辰
藿藿——葛子瑞
尾巴——刘北辰",BV1Lu411F7Q8,1868384,4722,4574,05:57,2023-11-15
《崩坏：星穹铁道》藿藿角色PV——「回魂夜」,"「尾巴、尾巴！救救，救救！」
「关我屁事…喂！干什么，你们这些小杂碎，只有老子才可以凶她。」

中文CV：
藿藿——葛子瑞
尾巴——刘北辰
桂乃芬——小敢

日文CV：
藿藿——长绳麻理亚
尾巴——平林刚
桂乃芬——直田姬奈

英文CV:
藿藿——Courtney Lin
尾巴—— Adam Michael Gold
桂乃芬——Morgan Lauré

韩文CV：
藿藿——김채린
尾巴——한복현
桂乃芬——김수영",BV1mj411E7eB,6423599,11561,11837,08:20,2023-11-14
《崩坏：星穹铁道》千星纪游PV：「绥园伏鬼记」,"世间如有恶鬼出现，十王判官便会下山擒伏。
执旗呼号，书符降召，以驱赶鬼怪邪恶，保生灵平安。
且说那日，小小判官接了法旨，要受命伏魔……

中文CV：
尾巴——刘北辰
藿藿——葛子瑞
小道士（藿藿 饰演）——葛子瑞
僵尸（雪衣 饰演）——溯浔
女鬼（寒鸦 饰演）——张雨曦


日文CV：
尾巴——平林刚
藿藿——长绳麻理亚
小道士（藿藿 饰演）——长绳麻理亚
僵尸（雪衣 饰演）——河濑茉希
女鬼（寒鸦 饰演）——铃代纱弓

英文CV：
尾巴—— Adam Michael Gold
藿藿——Courtney ",BV1Xw411K7Mg,4828359,6894,6817,08:36,2023-11-10
《崩坏：星穹铁道》走近星穹——「桂乃芬：锣鼓一响，好戏开场！」,"小女背井离故乡，遨游四海行八方。养尊处优无所长，说书唱戏赚银两。舞棍棒、耍刀枪，诸般兵刃列在旁。弹弦唱、咏兰章，少吃瓜子多鼓掌。今日来到金人巷，那便是——
敬请收看星际和平娱乐特别节目《走近星穹》——「桂乃芬：锣鼓一响，好戏开场！」。

中文CV：
叽米——刘北辰
桂乃芬——小敢",BV1oN411u7iT,1560649,3281,2797,04:07,2023-11-05
《崩坏：星穹铁道》 1.5版本「迷离幻夜谈」前瞻特别节目,"《崩坏：星穹铁道》1.5版本「迷离幻夜谈」将于2023年11月15日上线，感谢各位开拓者的支持与陪伴~

本次特别节目中的一切人物、故事、设定仅为节目包装，均与《崩坏：星穹铁道》原作无关，展示画面与奖励等均为研发中内容，非最终上线版本，请以上线版本为准。
兑换码将于11月4日23:59:59失效，各位开拓者记得尽快兑换哦~",BV1TG411y78s,2058177,27403,4526,32:11,2023-11-03
《崩坏：星穹铁道》1.5版本PV：「迷离幻夜谈」,"幽府来使，列车怪客…航行在深黯的夜空，怪谲诡秘之事总是不期降临。

中文CV：
银枝——梁达伟                        
三月七——诺亚                        
桂乃芬——小敢
素裳——陈婷婷                        
藿藿——葛子瑞                        
被附身的冥差——金娜

日文CV：
银枝——立花慎之介
三月七——小仓唯
桂乃芬——直田姬奈                
素裳——福圆美里
藿藿——长绳麻",BV1Uu4y1h7RG,2917637,4732,4034,11:26,2023-11-03
《崩坏：星穹铁道》走近星穹——「托帕&账账：债务优化，迎面变局」,"欢迎加盟星际和平公司贸易体系！「战略投资部」托帕总监可以帮助您促进传统特色产业转型升级、以贸易同盟作为纽带为产品赋能、实现地区经济可持续增长！
敬请收看星际和平娱乐特别节目《走近星穹》——「托帕&账账：债务优化，迎面变局」。

中文CV：
叽米——刘北辰
账账——陆敏悦
托帕——陆敏悦",BV1D84y1R7Uc,1692649,4367,4959,06:59,2023-10-27
《崩坏：星穹铁道》托帕&账账角色PV——「专家教学」,"「托帕」
定级：P45
所属：星际和平公司>战略投资部>重大事务组>不良资产清算专家

综合绩效评定 第8位

中文CV：
托帕——陆敏悦
账账——陆敏悦
叽米——刘北辰
桑博——刘圣博
黑塔——侯小菲
艾丝妲——龟娘

日文CV：
托帕——南条爱乃
账账——陆敏悦
叽米——名村幸太朗
桑博——平川大辅
黑塔——山崎遥
艾丝妲——赤崎千夏

英文CV：
托帕——Sam Slade
账账——陆敏悦
叽米——Bill Butts
桑博——Roger Rose
黑塔——PJ Mattson
艾丝妲——Felec",BV1kN4y1r7AL,4386079,10585,8656,07:50,2023-10-26
崩跑吧，开拓者！,"秋天的第一次崩跑，和帕姆一起跑步帕~

崩坏：星穹铁道×Keep联动活动将于10月26日10:00开启。",BV1Gg4y1d7bi,1314953,2475,2864,04:00,2023-10-25
《崩坏：星穹铁道》千星纪游PV：「星际和平导览：甄选、规划和机遇」,"嘿，你！没错，我们正在找你。
琥珀王的巨锤已经落下，无人能够置身事外……

中文CV：
叽米——刘北辰

日文CV：
叽米——名村幸太朗

英文CV：
叽米——Bill Butts

韩文CV：
叽米——강호철",BV1ny4y1P7SN,3262004,9419,10980,12:10,2023-10-22
《崩坏：星穹铁道》走近星穹——「镜流：名师出高徒」,"她，曾是罗浮剑首，如云翳障空，卫蔽仙舟；她，曾是云上五骁，盗月光一线，无罅飞光…后来她身堕魔阴，受云骑围剿，不知所踪。如今她再次归来，究竟是敌是友？
敬请收看星际和平娱乐特别节目《走近星穹》——「镜流：名师出高徒」。


中文CV：
叽米——刘北辰
景元——孙晔
彦卿——喵酱",BV1iu411K75L,2008905,7545,6183,06:03,2023-10-11
《崩坏：星穹铁道》镜流角色PV——「剑出无回」,"下次相会时…不知是敌是友，是生是死？
下次相会时…彼时彼刻是否亦如此时此刻？
下次相会时…天上的星星，我定会斩下。

中文CV：
镜流——杜冥鸦

日文CV：
镜流——桑岛法子

英文CV：
镜流——AmaLee

韩文CV：
镜流——박이서",BV1vw411r7yL,6375706,21738,14745,07:28,2023-10-10
《崩坏：星穹铁道》现实邀约PV：「一起出去玩嘛！」,"「走啦走啦，一起出去玩嘛！」
列车环游记•成都站到站！《崩坏：星穹铁道》携手成都文旅，邀请开拓者与三月七、青雀一起前往四川成都，走街串巷吃喝玩乐，跟随视频一起出发吧！

中文CV：
三月七——诺亚",BV15H4y1o75F,2610891,4401,6860,01:42,2023-10-08
《崩坏：星穹铁道》千星纪游PV：「云骑武经•说剑」,"「『直之无前，举之无上，案之无下，运之无旁。上决浮云，下绝地纪。』…这便是我汲汲所求的剑。」
「可这样的剑，世间真的存在吗？」

剑，长三尺七寸，轻如无物。
它并非凡铁熔铸，而是一截坚冰凝成，幽幽含光，如握一线月光在手。
中文CV：
镜流——杜冥鸦
彦卿——喵酱

日文CV：
镜流——桑岛法子
彦卿——井上麻里奈

英文CV：
镜流——AmaLee
彦卿——Amber May

韩文CV：
镜流——박이서
彦卿——이새아",BV12N4y1o7ET,4563877,19096,11491,09:48,2023-10-06
《崩坏：星穹铁道》1.4版本「冬梦激醒」前瞻特别节目,"《崩坏：星穹铁道》1.4版本「冬梦激醒」版本将于2023年10月11日上线，感谢各位开拓者的支持与陪伴~

本次特别节目中的一切人物、故事、设定仅为节目包装，均与《崩坏：星穹铁道》原作无关，展示画面与奖励等均为研发中内容，非最终上线版本，请以上线版本为准。

兑换码将于9月30日12:00:00失效，各位开拓者记得尽快兑换哦~",BV1XH4y1m7f2,3070684,51585,8821,41:02,2023-09-29
《崩坏：星穹铁道》1.4版本PV：「冬梦激醒」,"一场梦魇的惊醒，一场久别的欢聚…阴霾消散，覆雪下的往事随霜而来。

中文CV：
托帕——陆敏悦
镜流——杜冥鸦
布洛妮娅——谢莹
乔瓦尼——赵梓涵
掘掘博士——胡艺

日文CV：
托帕——南条爱乃
镜流——桑岛法子
布洛妮娅——阿澄佳奈
乔瓦尼——坂卷学
掘掘博士——江尻拓己

英文CV：
托帕——Sam Slade
镜流——AmaLee
布洛妮娅——Madeline Reiter
乔瓦尼——Jason Marnocha
掘掘博士——Samuel Drake

韩文CV：
托帕——방시우
镜流——박이서
",BV1U34y1G73e,2966180,5592,5466,11:52,2023-09-29
《崩坏：星穹铁道》星穹研习会03期——「预测未来」,"视兆问玄，极数知来。
仙舟「罗浮」之上的「太卜司」，以符玄为首的卜者们用近乎玄学的演算方式预测事物未来的可能性。
而在现实生活中，人类是否真正能够做到预测未来呢？",BV1sk4y1c7U3,1087075,7696,3296,12:50,2023-09-24
《崩坏：星穹铁道》TGS参展视频：「掌中宇宙」,"沿着掌心的纹路，那些发生的事、遇见的人、走过的路都仿佛能够找到行迹。
而最重要的是——它还将继续。

中文CV：
托帕——陆敏悦",BV1by4y1F7dx,1407318,2443,4618,01:49,2023-09-22
《崩坏：星穹铁道》走近星穹——「玲可：大的药来了！」,"在贝洛伯格城外，总有人目击到一个娇小的身影在无尽的风雪之中穿行。这位娇小的少女究竟是谁？是传说中的「贝洛伯格雪原人」？是阿丽萨•兰德的裂界残像？真相究竟是什么……
敬请收看星际和平娱乐特别节目《走近星穹》——「玲可：大的药来了！」。

CV：
叽米——刘北辰
玲可——米糊",BV1A34y1N7cD,1257495,2774,3524,04:03,2023-09-21
星穹铁道教你0基础做美食,"星穹铁道保姆级教学，教你0基础做美食！相信自己，你一定会有所收获！赶紧跟着视频操作，开启你的美食练习吧！

崩坏：星穹铁道×肯德基联动活动将于9月22日开启。星穹开拓，美味启航帕！",BV1ty4y1F7mU,3349872,14768,8832,01:46,2023-09-20
《崩坏：星穹铁道》走近星穹——「符玄：世纪难题之下任将军究竟何时赴任？」,"太卜司太卜符玄，凭额间法眼，仰知天文俯察地理，前知五百年后知五百年，却竟也有无法计算出结果的难题？这难题究竟是什么？
敬请收看星际和平娱乐特别节目《走近星穹》——「符玄：世纪难题之下任将军究竟何时赴任？」。

CV：
叽米——刘北辰
青雀——刘十四
符玄——花玲",BV1tw411e7ux,2062209,9494,8865,06:14,2023-09-20
《崩坏：星穹铁道》符玄角色PV——「法眼无遗」,"不卜人事、不卜福祸、不卜己身。
不诚不占、不义不占、不习不占。

中文CV：
符玄——花玲
青雀——刘十四

日文CV：
符玄——伊藤美来
青雀——伊达朱里纱

英文CV：
符玄——Sarah Wiedenheft
青雀——Bryn Apprill

韩文CV：
符玄——이지현
青雀——서다혜",BV1R94y1W7pL,5846454,23626,14269,07:40,2023-09-15
《崩坏：星穹铁道》走近星穹——「模拟宇宙：寰宇蝗灾」特别节目,"今天，本节目有幸邀请到天才俱乐部#83黑塔女士，带来「模拟宇宙」全新资料片《寰宇蝗灾》的一手情报以及新版本模拟宇宙的试玩体验。

CV：
叽米——刘北辰
黑塔——侯小菲",BV1fF41167RN,1909031,6997,12824,08:58,2023-09-06
《崩坏：星穹铁道》走近星穹——「丹恒•饮月：神秘男子的隐藏实力」,"他背负沉重的过往，远走他乡，如今却衣锦荣归，再立于重渊之上。那张俊俏的脸庞之下，究竟隐藏着何种力量，那双坚毅的双眼之中，又隐藏着多少悲伤……
敬请收看星际和平娱乐特别节目《走近星穹》——「丹恒•饮月：神秘男子的隐藏实力」。

CV：
叽米——刘北辰
三月七——诺亚
丹恒•饮月——李春胤",BV1qN4y1R7cu,1734171,7520,8158,05:48,2023-08-30
《崩坏：星穹铁道》动画短片：「玄黄」,"星历4800年，会持明五脉盟于玉阙，载书誓曰：金石可铄，此誓不破。——《仙舟通鉴•五龙远徙》
星历7379年，饮月君丹枫衅乱，危及若木。云骑会持明龙师共击之。——《仙舟通鉴•云骑战事纪要》

「荡荡龙君，受天至灵。云行雨施，品物流形。」
……
他梦见自己膺承职责，舞雩如仪，封印建木。
他梦见自己踏足锋镝流坠的战场，自天降罚。
他梦见自己被玉柱牵锁，长针贯身，镇入黑暗。
他梦见自己在黑暗中徘徊无措，被逡巡的影子追逐。
……
在所有梦中，他是龙，是英雄，是罪囚，唯独不是和他们一样有着爱恨悲欢的人。

出品：m",BV1Th4y1S7KF,6323901,28453,28028,23:01,2023-08-29
《崩坏：星穹铁道》千星纪游PV：「仙舟通鉴•五龙远徙」,"「祂绘出一个完美的圆，如命运般周而复始，从来处来，到去处去。」

中文CV：
「龙师」涛然——许棕哲
「执笔者」奥本海默——李程远

日文CV：
「龙师」涛然——上别府仁资
「执笔者」奥本海默——伊藤有希

英文CV：
「龙师」涛然——Daman Mills
「执笔者」奥本海默——Frank Todaro

韩文CV：
「龙师」涛然——김용
「执笔者」奥本海默——구지원",BV1nu4y1D7Ex,3794541,11461,15763,12:21,2023-08-27
《崩坏：星穹铁道》丹恒•饮月角色PV——「归去来」,"「前生种种，对我来说就像陌生的影子，看不真切，却亦步亦趋。」
「我很难描述那种感觉，但可以肯定的是，我不是任何人的影子。」

中文CV：
丹恒•饮月——李春胤
幻胧——黄莺

日文CV：
丹恒•饮月——伊东健人
幻胧——日野由利加

英文CV：
丹恒•饮月——Nicholas Leung
幻胧——Tara Langella

韩文CV：
丹恒•饮月——김혜성
幻胧——유보라",BV1dF411C77c,5583823,21918,20455,07:13,2023-08-25
《崩坏：星穹铁道》Gamescom参展视频：「神策府总司一切大小事务将军」,"「太卜大人？」
「嘘。让她睡会儿吧，太卜大人暂代将军职责，已经三天没合眼了……」

CV：
符玄——花玲
青雀——刘十四
玲可——米糊
素裳——陈婷婷",BV13p4y1K7Qn,2049919,5242,6736,01:56,2023-08-23
