标题,描述,BV号,播放量,弹幕,评论,时长,上传时间
《崩坏：星穹铁道》1.3版本「天镜映劫尘」前瞻特别节目,"《崩坏：星穹铁道》1.3版本「天镜映劫尘」版本将于2023年8月30日上线，感谢各位开拓者的支持与陪伴~

本次特别节目中的一切人物、故事、设定仅为节目包装，均与《崩坏：星穹铁道》原作无关，展示画面与奖励等均为研发中内容，非最终上线版本，请以上线版本为准。

兑换码将于8月19日12:00:00失效，各位开拓者记得尽快兑换哦~",BV1SX4y1W7fi,2446647,34775,8192,28:09,2023-08-18
《崩坏：星穹铁道》1.3版本PV：「天镜映劫尘」,"玉镜高悬于天，映照劫余尘寰。即便星移斗转，往昔的灾影也未曾消散。

中文CV：
驭空——钟可
符玄——花玲
丹恒•饮月——李春胤
黑塔——侯小菲

日文CV：
驭空——冬马由美
符玄——伊藤美来
丹恒•饮月——伊东健人
黑塔——山崎遥

英文CV：
驭空——Dawn M. Bennett
符玄——Sarah Wiedenheft
丹恒•饮月——Nicholas Leung
黑塔——PJ Mattson

韩文CV：
驭空——전숙경
符玄——이지현
丹恒•饮月——김혜성
黑塔——김서영",BV1CG411f7Aq,3620527,7630,8426,11:20,2023-08-18
《崩坏：星穹铁道》千星纪游PV：「耶佩拉叛乱：第47场」,"第47场。
内景。耶佩拉宫——黄昏。毁灭。
女人微笑着看向审判席，迎接他们的判词……

中文CV：
卡芙卡——徐慧
萨姆——淦子齐
耶佩拉罚判者——赵梓涵

日文CV：
卡芙卡——伊藤静
萨姆——笠间淳
耶佩拉罚判者——藤井启辅

英文CV：
卡芙卡——Cheryl Texiera
萨姆——Adin Rudd
耶佩拉罚判者——Steven Kelly

韩文CV：
卡芙卡——사문영
萨姆——장서화
耶佩拉罚判者——장서화",BV1Nu411H7C6,5107794,22753,22738,12:10,2023-08-13
《崩坏：星穹铁道》走近星穹——「卢卡：义肢打拳是否犯规？」,"他在下城区掀起风暴！穿过每条街道，观众奔走相告；八角笼中喧闹，对手绝望哀嚎；他的红发燃烧，他的铁拳狂暴，善人为他尖叫，恶党只能逃跑！
敬请收看星际和平娱乐特别节目《走近星穹》——「卢卡：义肢打拳是否犯规？」。

CV：
叽米——刘北辰
卢卡——萧翟",BV1Tj41167WW,1020999,3242,3396,05:02,2023-08-10
《崩坏：星穹铁道》走近星穹——「卡芙卡：西装丽人的另一面」,"她，优雅而神秘；她，将人心玩弄于股掌之间；她，在银河中恶名昭彰…看似危险的女人，却有着出人意料的另一面……
敬请收看星际和平娱乐特别节目《走近星穹》——「卡芙卡：西装丽人的另一面」。

CV：
叽米——刘北辰
姬子——林簌
卡芙卡——徐慧",BV1L14y1q7ox,2268665,9296,10000,04:32,2023-08-09
《崩坏：星穹铁道》卡芙卡角色PV——「戏剧性反讽」,"制造「恐惧」是她的专长，即便她对「恐惧」一无所知。

中文CV：
卡芙卡——徐慧

日文CV：
卡芙卡——伊藤静

英文CV：
卡芙卡——Cheryl Texiera

韩文CV：
卡芙卡——사문영",BV1MN41187U6,12318903,51113,35755,08:11,2023-08-08
《崩坏：星穹铁道》遥远星球之歌VOL.2：仙舟的音乐戏法,"仙舟「罗浮」是仙舟联盟的六大座舰之一，它漂航于无尽的星海中，如无回的神矢射向「巡猎」之主的宿敌。
《崩坏：星穹铁道》仙舟「罗浮」音乐由HOYO-MiX团队制作。让我们与HOYO-MiX一起走近幕后的音乐创作故事。",BV1Rp4y1V7Jq,1894183,7963,6932,11:56,2023-07-23
《崩坏：星穹铁道》EP：「水龙吟」,"无光的幽暗中，
他仿佛回到持明卵中，
在波涛与幻梦里辗转来去。

《水龙吟》
出品：HOYO-MiX	
制作人：林一凡Fan (HOYO-MiX)
作曲：林一凡Fan (HOYO-MiX)
作词：邪叫教主
编曲：文驰Vinchi (HOYO-MiX)
混音&母带制作：宫奇Gon (HOYO-MiX)
歌手：优素
古琴：方静宇 Jingyu Fang
弦乐：龙之艺交响乐团 Art of Loong Orchestra
人声录音棚：奕和录音棚 YiHe Studio
器乐录音棚：升赫录音棚 Soundhub ",BV1EF411X7PF,14333096,19993,30745,03:12,2023-07-20
《崩坏：星穹铁道》走近星穹——「刃：永生者的美景」,"通缉要犯现身罗浮，竟似乎与当今罗浮将军颇有渊源？他为何而痛苦、为何而挣扎、为何而战斗？此番归来意欲何为？求而不得的美景又是什么？
敬请收看星际和平娱乐特别节目《走近星穹》——「刃：永生者的美景」。

CV：
叽米——刘北辰
卡芙卡——徐慧
刃——刘以嘉",BV1Nx4y1d7aj,2161514,5147,7291,04:39,2023-07-19
《崩坏：星穹铁道》刃角色PV——「死兆将至」,"「听，亡灵在说话。」  

中文CV：
刃——刘以嘉

日文CV：
刃——三木真一郎

英文CV：
刃——Daman Mills

韩文CV：
刃——곽윤상",BV12h4y1j7Pw,13599794,34791,98937,07:53,2023-07-14
《崩坏：星穹铁道》1.2版本「仙骸有终」前瞻特别节目,"《崩坏：星穹铁道》1.2版本「仙骸有终」版本将于2023年7月19日上线，感谢各位开拓者的支持与陪伴~

本次特别节目中的一切人物、故事、设定仅为节目包装，均与《崩坏：星穹铁道》原作无关，展示画面均为研发中内容，非最终上线版本。",BV1SP411C7Dt,2810782,42856,7238,29:08,2023-07-08
《崩坏：星穹铁道》1.2版本PV：「仙骸有终」,"万物终有尽头，毋论仙凡。这绝非不仁的天罚，而是宽赦。

中文CV：
卡芙卡——徐慧
刃——刘以嘉
景元——孙晔
彦卿——喵酱
丹恒——李春胤
幻胧——黄莺


日文CV：
卡芙卡——伊藤静
刃——三木真一郎
景元——小野大辅
彦卿——井上麻里奈
丹恒——伊东健人
幻胧——日野由利加

英文CV：
卡芙卡——Cheryl Texiera
刃——Daman Mills
景元——Alejandro Saab
彦卿——Amber May
丹恒——Nicholas Leung
幻胧——Tara Langella

",BV1xg4y1P75E,6129831,10937,10157,13:17,2023-07-08
《崩坏：星穹铁道》走近星穹——「驭空：罗浮司舵竟曾是飙车族」,"她，如何从飙车族蜕变为罗浮司舵？她，年轻时的叛逆为何消失无踪？在司舵大人的内心深处隐藏着怎样的秘密？这一切究竟是命运的嘲弄，还是成长的阵痛？
敬请收看星际和平娱乐特别节目《走近星穹》——「驭空：罗浮司舵竟曾是飙车族」。

CV：
叽米——刘北辰
驭空——钟可",BV1S14y127Mz,1284134,1751,3379,03:16,2023-06-29
《崩坏：星穹铁道》走近星穹——「罗刹：棺材中的隐秘」,"一位携带棺材的神秘商人，一段扑朔迷离的诡异过往…他随身的棺材中究竟藏着什么？为何无人知晓其真相？是恐惧的避讳，还是好奇的戒备？
敬请收看星际和平娱乐特别节目《走近星穹》——「罗刹：棺材中的隐秘」。

CV：
叽米——刘北辰
素裳——陈婷婷
罗刹——赵路",BV1XV4y1y7mT,1763007,5986,10195,04:51,2023-06-28
《崩坏：星穹铁道》罗刹角色PV——「行者明誓」,"凡失去的，必将归来。
凡夺取的，必将偿还。


中文CV：
罗刹——赵路

日文CV：
罗刹——石田彰

英文CV：
罗刹——Craig Lee Thomas

韩文CV：
罗刹——신용우",BV1PV4y1y77C,4871124,16746,23549,07:26,2023-06-23
《崩坏：星穹铁道》SGF参展视频：「宇宙游戏」,"年轻的「银河冒险玩家」这么说道——
游戏就只是为了游戏，仅此而已！

CV：
银狼——Hanser
三月七——诺亚
驭空——钟可
卢卡——萧翟",BV1zz4y1v7r8,1659851,1907,4412,01:44,2023-06-09
《崩坏：星穹铁道》走近星穹——「银狼：宇宙第一天才骇客！」,"宇宙第一天才骇客银狼小姐向全银河喊话：有意愿与银狼对决的骇客诸君，请在任何时间、任何地点向银狼发起网络进攻，银狼愿意随时应战。
敬请收看普罗米修斯娱乐特别节目《走近星穹》——「银狼：宇宙第一天才骇客！」。

CV：
叽米——刘北辰
普罗米修斯「朋友」——Hanser
银狼——Hanser",BV1gu4y1Z7cu,2348778,5418,8614,04:31,2023-06-07
《崩坏：星穹铁道》银狼角色PV——「有点意思」,"「卡芙卡，你这几个意思？」
「没什么意思，也就稍微意思意思。」

中文CV：
银狼——Hanser

日文CV：
银狼——阿澄佳奈

英文CV：
银狼——Melissa Fahn

韩文CV：
银狼——장미",BV15o4y1u7pH,7113814,23256,20416,06:52,2023-06-02
《崩坏：星穹铁道》1.1版本PV：「银河漫游」,"或游戏其中，或漫游行走，这片银河容得下任何可能。


中文CV：
银狼——Hanser
黑塔——侯小菲
佩拉——宴宁
三月七——诺亚
罗刹——赵路
驭空——钟可
镜流——杜冥鸦

日文CV：
银狼——阿澄佳奈
黑塔——山崎遥
佩拉——诸星堇
三月七——小仓唯
罗刹——石田彰
驭空——冬马由美
镜流——桑岛法子

英文CV：
银狼——Melissa Fahn
黑塔——PJ Mattson
佩拉——Xanthe Huynh
三月七——Skyler Davenport
罗刹——Craig Lee Thomas
",BV1XT41147q3,5072456,4792,11715,11:27,2023-05-27
《崩坏：星穹铁道》1.1版本「银河漫游」前瞻特别节目,"《崩坏：星穹铁道》1.1版本「银河漫游」将于2023年6月7日上线，感谢各位开拓者的支持与陪伴。愿此行，终抵群星！
本次特别节目中的一切人物、故事、设定仅为节目包装，均与《崩坏：星穹铁道》原作无关，展示画面均为研发中内容，非最终上线版本。",BV1Xu411W7Sp,2990110,30797,15801,29:53,2023-05-26
《崩坏：星穹铁道》走近星穹——「景元：闭目将军睁眼的真相」,"他，凭钢铁神躯抵御寿瘟；他，以无遗妙算守护仙舟；他，闭目藏睛却能决胜千里！「闭目将军」为何突然睁眼？是敌寇犯境，还是罗浮生变？
敬请收看星际和平娱乐特别节目《走近星穹》——「景元：闭目将军睁眼的真相」。

CV：
叽米——刘北辰
符玄——花玲
景元——孙晔",BV17s4y1M7bn,2206420,6633,14626,05:25,2023-05-17
《崩坏：星穹铁道》景元角色PV——「天地为枰」,"善弈者不囿于方寸，当以天地为枰，星辰作子。进退俯仰，皆是谋局。

中文CV：
景元——孙晔
彦卿——喵酱

日文CV：
景元——小野大辅
彦卿——井上麻里奈

英文CV：
景元——Alejandro Saab
彦卿——Amber May

韩文CV：
景元——류승곤
彦卿——이새아",BV11z4y187KN,8837440,28200,25607,08:15,2023-05-13
《崩坏：星穹铁道》动画短片：「飞光」,"星历7380年，前代罗浮剑首「镜流」身堕魔阴，云骑聚星槎海战之，不知其所踪。——《仙舟通鉴•云骑战事纪要》
星历8096年，神策府演武考校，士卒彦卿得魁，擢拔骁卫。——《神策府通录》

「飞光飞光，劝尔一杯酒。」
飞光，是师徒间交错的剑锋，是天地间汹涌的时间。
究竟过去多久了呢？
与师父的交锋，已是七百多年前的往事了，却像在昨天。
遇到眼前的孩子，收他做弟子，大概不过几年，却恍如隔世。
时间如野马、如掣电、如剔骨钢刀穿肠而过，却又一切如故。

出品：miHoYo Anime
联合制作：幻想师动画、Stud",BV16g4y157Zc,9368758,26106,35076,18:09,2023-05-10
《崩坏：星穹铁道》千星纪游PV：「仙舟通鉴•帝弓七天将」,"星汉做关河，张弓奏棹歌。
军锋和金柝，破阵仗神戈。
前途迢递孱颜险，旌旆蔽天讨寿魔。

中文CV：
公输师傅——邹亮
景元——孙晔
罗刹——赵路

日文CV：
公输师傅——近藤浩德
景元——小野大辅
罗刹——石田彰

英文CV：
公输师傅——Michael Sorich
景元——Alejandro Saab
罗刹——Craig Lee Thomas

韩文CV：
公输师傅——김용
景元——류승곤
罗刹——신용우",BV19o4y1x7tX,6105646,29232,20008,16:23,2023-05-07
《崩坏：星穹铁道》列车环游记 • 黟县站,"粉墙黛瓦，烟霞百里。
《崩坏：星穹铁道》携手世界文化遗产安徽西递、宏村景区，邀请开拓者共同感受徽派建筑文化之美。",BV1Qh411L7ES,949315,2686,3114,05:48,2023-05-06
《崩坏：星穹铁道》星穹研习会02期——「畅想银河」,"宇宙中有无数的星球，无尽的故事，无限的可能。即便仍被重力束缚，人类对未知的畅想永远不会停歇。

本期嘉宾：
剑桥大学、苏黎世联邦理工学院教授 迪迪尔·奎罗兹",BV1Xo4y1x7t9,1087491,4762,6223,10:57,2023-05-05
《崩坏：星穹铁道》千星纪游PV：「有关星空的寓言集•其一」,"「无数流星划过今夜的天空…如果选中了正确的那一颗，它将把你的愿望带向千百个世界。」

中文CV：
「忆者」黑天鹅——杨梦露

日文CV：
「忆者」黑天鹅——生天目仁美

英文CV：
「忆者」黑天鹅——Arryn Zech

韩文CV：
「忆者」黑天鹅——김하영",BV1EM4y1h7Vm,7437779,18884,22766,15:51,2023-05-03
《崩坏：星穹铁道》遥远星球之歌VOL.1：雅利洛-Ⅵ,"雅利洛-Ⅵ，被冰霜包围近千年的白色星球。在「存护」星神的护佑下，人类建立了抵御严寒的最后堡垒贝洛伯格。此处虽受风雪侵凌，却依旧温暖。

《崩坏：星穹铁道》「雅利洛-Ⅵ」音乐由HOYO-MiX团队制作。让我们与HOYO-MiX一起走近这座「存护之城」以及她幕后的音乐创作故事。",BV1sz4y1h7iM,1297716,5112,5246,16:18,2023-05-02
《崩坏：星穹铁道》走近星穹——「瓦尔特：重返一线育新苗」,"瓦尔特先生曾积极投身拯救人类的光荣事业，展现英雄风采。如今又踏上「开拓」之路，引领航向，彰显不凡才智。他曾为世界而战，命运再召，他将肩负使命，更创新篇。
敬请收看星际和平娱乐特别节目《走近星穹》——「瓦尔特：重返一线育新苗」。

CV：
叽米——刘北辰
瓦尔特——彭博",BV1Lc411T78x,2926119,3834,8545,03:27,2023-05-01
《崩坏：星穹铁道》启程庆典,"《崩坏：星穹铁道》启程庆典由米哈游miHoYo & HOYO-MiX出品。

银河广袤寂静，也孕育了无数美好。此刻，如果您仰望星空，看见那深邃黑暗中若隐若现的点点微芒，便会知晓，那高远无穷的璀璨正是我们共同的期冀。
愿此行，终抵群星。 

观看提醒：本视频可能会引发光敏性癫痫患者的不适反应，建议观众谨慎观看。",BV1Cg4y1L7fC,3398105,15733,12016,34:57,2023-04-30
《崩坏：星穹铁道》走近星穹——「克拉拉：警惕人工智能」,"机械聚落首领为何帮女孩整理发型？女孩为何光脚走路？人机之间的不解情缘，背后隐藏着怎样的秘密？人工智能会给人类带来福祉还是灾难？
敬请收看星际和平娱乐特别节目《走近星穹》——「克拉拉：警惕人工智能」。

CV：
叽米——刘北辰
克拉拉——紫苏九月
史瓦罗——王宇航",BV1uk4y1n7aj,2749293,4195,8189,03:55,2023-04-30
《崩坏：星穹铁道》走近星穹——「布洛妮娅：下任大守护者不能说的秘密」,"下任大守护者身陷下城区，引得民间流言蜚语四起。是「地火」的绑架，还是继承人的叛逆？黑暗中的真相究竟是……
敬请收看星际和平娱乐特别节目《走近星穹》——「布洛妮娅：下任大守护者不能说的秘密」。

CV：
叽米——刘北辰
布洛妮娅——谢莹",BV1dL411h7v8,1912633,2761,4435,03:19,2023-04-29
《崩坏：星穹铁道》走近星穹——「希儿：离奇消失的地火奇人」,"反抗军成员为何离奇消失？神秘的蝴蝶究竟有何寓意？「反抗军骨干」的身份下又隐藏着怎样的真容？
敬请收看星际和平娱乐特别节目《走近星穹》——「希儿：离奇消失的地火奇人」。

CV：
叽米——刘北辰
布洛妮娅——谢莹
希儿——唐雅菁",BV1Eh4y1n7iw,1906153,3819,5896,04:33,2023-04-27
《崩坏：星穹铁道》OP：「星间旅行」,"把星球当作沿途站台，去开拓一个时代。
这旅途危机多过意外，但星辰唾手可摘。",BV1rh4y1n77f,15477447,15460,40787,03:26,2023-04-25
《崩坏：星穹铁道》开服寄语「CV篇」,"踏着漫天繁星，列车即将启航。认真筹备列车工作的帕姆收取到一段来自远方的神秘视频信号。
在《崩坏：星穹铁道》即将发车之际，未曾谋面的伙伴们也有些话想要传达给开拓者！速来和帕姆一起听听帕~
愿此行，终抵群星！",BV1gP411U71v,1937204,25895,6558,11:22,2023-04-24
《崩坏：星穹铁道》希儿角色PV——「一夜无事」,"贝洛伯格的夜，谎言藏不住恨怨。那女人冷着眼，旁观发生的一切。
贝洛伯格的夜，谎言灭不了火焰。她最后的笑容，预示着黎明将现。

中文CV：
希儿——唐雅菁
布洛妮娅——谢莹

日文CV：
希儿——中原麻衣
布洛妮娅——阿澄佳奈

英文CV：
希儿——Molly Zhang
布洛妮娅——Madeline Reiter

韩文CV：
希儿——송하림
布洛妮娅——이보희",BV1bh411E7SQ,10551383,6341,12633,06:00,2023-04-23
直面危机，星穹铁道做了一个艰难的决定,"2023年4月20日，星穹铁道发车在即，回溯往昔，我们做了一个艰难的决定。
小编采访了参与项目的员工，分享他们的想法......",BV1ho4y1j7Ps,2758753,20989,8569,08:03,2023-04-20
《崩坏：星穹铁道》星穹研习会01期——「走出家园」,"《崩坏：星穹铁道》星穹研习会第1期——「走出家园」

被星空的引力点燃，人类浩荡前行。

本期嘉宾：
科技影视博主TIM
中国科学院理学博士、河南大学物理电子学院教授戴树玺",BV1as4y127qn,1432635,9640,5845,10:52,2023-04-18
《崩坏：星穹铁道》杰帕德角色PV——「以朗道之名」,"《崩坏：星穹铁道》杰帕德角色PV——「以朗道之名」

「你将捍卫贝洛伯格与她的人民，不计任何代价——绝不要辜负你应守护的人们，勿令朗道家蒙羞！」

中文CV：
杰帕德——马洋

日文CV：
杰帕德——古川慎

英文CV：
杰帕德——Bryson Baugus

韩文CV：
杰帕德——민승우",BV1G24y1A7CF,2345074,2667,3834,05:52,2023-04-17
《崩坏：星穹铁道》姬子角色PV——「追星星的人」,"《崩坏：星穹铁道》姬子角色PV——「追星星的人」

距离繁星更近的每一步，都是「开拓」的收获，也是这段旅程的意义。

中文CV：
姬子——林簌

日文CV：
姬子——田中理惠",BV1tT411W7T9,4286506,5334,10035,05:39,2023-04-10
《崩坏：星穹铁道》前瞻特别节目,《崩坏：星穹铁道》将于2023年4月26日开启全平台公测，欢迎各位开拓者登上星穹列车，一同享受开拓的旅途！,BV1ms4y1S7Q4,2409877,30308,11899,48:13,2023-03-24
来，快上车！,"来，快上车！

星穹列车即将启航，某位开拓者上车的原因竟是……
（本视频表现经过夸张化处理，与一切真实人物、事件、团体、组织均无关联。）",BV13m4y1k7au,1184830,2989,8195,03:19,2023-03-24
《崩坏：星穹铁道》彦卿角色PV——「锋寒砺淬」,"《崩坏：星穹铁道》彦卿角色PV——「锋寒砺淬」

「试探就到此为止了。万剑，天来！」

中文CV：
彦卿——喵酱

日文CV：
彦卿——井上麻里奈",BV12Y411e7jQ,4891388,5010,7165,04:53,2023-02-17
《崩坏：星穹铁道》白露角色PV——「天干物燥」,"《崩坏：星穹铁道》白露角色PV——「天干物燥」

天干物燥，小心上火。内燥外调，外燥内养。要是都燥，就得吃药！

中文CV：
白露——多多

日文CV：
白露——加藤英美里",BV1n84y1G7HE,7436309,6509,9686,06:22,2023-02-10
《崩坏：星穹铁道》跃迁PV：「太空喜剧」,"《崩坏：星穹铁道》跃迁PV：「太空喜剧」

命途之上，从伟大到可笑，只有一步之遥。

中文CV：
瓦尔特——彭博
姬子——林簌

日文CV：
瓦尔特——细谷佳正
姬子——田中理惠",BV1fA411R7pq,11095209,12949,17697,07:30,2023-01-24
《崩坏：星穹铁道》剧情PV：「见证者」,"《崩坏：星穹铁道》剧情PV：「见证者」

银河里有数不清的下一站。我等只是过客，是一段故事的见证者。


中文CV：
开拓者——秦且歌
姬子——林簌
瓦尔特——彭博
丹恒——李春胤
布洛妮娅——谢莹
卡芙卡——徐慧
符玄——花玲

日文CV：
开拓者——榎木淳弥
姬子——田中理惠
瓦尔特——细谷佳正
丹恒——伊东健人
布洛妮娅——阿澄佳奈
卡芙卡——伊藤静
符玄——伊藤美来",BV1eg411U7yz,3292913,4699,7826,09:17,2022-09-17
《崩坏：星穹铁道》剧情PV：「梦魇」,"《崩坏：星穹铁道》剧情PV：「梦魇」

当过去重新站在了你的面前，你会逃避，还是远离？

中文CV：
刃——刘以嘉
丹恒——李春胤
帕姆——蒋丽

日文CV：
刃——三木真一郎
丹恒——伊东健人
帕姆——长泽美树",BV1od4y1R7Tf,3695423,2873,5276,04:55,2022-08-24
《崩坏：星穹铁道》EP ：「雪融于烬」,"《崩坏：星穹铁道》EP ：「雪融于烬」

倘若你没有从远方赶来，
倘若我没有再许下允诺，
冰雪不会知晓火的温度。",BV18G4y1a7Pg,1890317,2160,4190,02:50,2022-08-18
《崩坏：星穹铁道》EP：「失控」,"《崩坏：星穹铁道》EP：「失控」

让提琴静默，让时钟停摆，
一切控制得如此彻底——
敌人的子弹甚至生活的风格。",BV13S4y1E78K,5481946,6184,8440,03:03,2022-07-22
《崩坏：星穹铁道》SGF参展视频：「致将启程的你」,"《崩坏：星穹铁道》SGF参展视频：「致将启程的你」
若你即将前往星之海洋，
祝愿你的旅途遥远漫长。

中文CV：
卡芙卡——徐慧
景元——孙晔

日文CV：
卡芙卡——伊藤静
景元——小野大辅",BV1Gt4y1H7wF,2052241,2610,6754,06:41,2022-06-10
《崩坏：星穹铁道》希露瓦角色PV——「引爆在即！」,"《崩坏：星穹铁道》希露瓦角色PV——「引爆在即！」

歌唱吧，即使旋律会停止。
燃烧吧，即使火焰会熄灭。
但人们苏醒时，天就亮了。
——一切引爆在即！

中文CV：
希露瓦——穆雪婷

日文CV：
希露瓦——爱美",BV1BY411u7wQ,4444846,5880,11082,04:56,2022-05-27
《崩坏：星穹铁道》开场动画：「一幕短剧」,"《崩坏：星穹铁道》开场动画：「一幕短剧」
至于「剧本」上没写的，就看临场发挥了。

中文CV：
卡芙卡——徐慧
艾丝妲——龟娘
阿兰——陶典
丹恒——鱼冻
三月七——诺亚
银狼——Hanser

日文CV：
卡芙卡——伊藤静
艾丝妲——赤崎千夏
阿兰——白石凉子
丹恒——伊东健人
三月七——小仓唯
银狼——阿澄佳奈",BV1dv4y1A7gL,2185823,2299,5329,04:35,2022-05-25
《崩坏：星穹铁道》漫游PV：「你」的选择,"#崩坏星穹铁道漫游测试#
「毁灭」别无选择，祂将湮灭，抹去宇宙存在的污点。
「存护」别无选择，祂将筑墙，保护尚有生机的世界。
而你依然拥有选择——以自己的意志，抵达结局吧！


中文CV:
卡芙卡——徐慧

日文CV：
卡芙卡——伊藤静",BV1ur4y1n71Y,4611540,7919,19056,09:21,2022-04-28
《崩坏：星穹铁道》三月七角色PV——「来，拍照啦！」,"#崩坏星穹铁道#
每天的记忆从按下快门的瞬间开始，今天，就选「你」啦~

中文CV：
三月七——诺亚

日文CV：
三月七——小仓唯",BV1VY4y1a78f,5964446,11366,23018,07:26,2022-04-21
《崩坏：星穹铁道》始发PV：下一站，银河！,"#崩坏星穹铁道#
此行驶向的每颗星辰，均是文明的辉光。",BV1L341117xS,6745332,8095,22788,01:58,2021-10-08
